iter	Logloss
147	0.3134423793
148	0.3129828108
149	0.3128446913
150	0.3123890179
151	0.3117716374
152	0.3110950115
153	0.3107759719
154	0.3106321278
155	0.3101821798
156	0.3099669188
157	0.3095587641
158	0.3094251888
159	0.3089515591
160	0.3087806108
161	0.3086237266
162	0.308119859
163	0.30770349
164	0.3074181411
165	0.3072398441
166	0.3070938101
167	0.3069015591
168	0.3066770461
169	0.306334732
170	0.3060367555
171	0.3059247994
172	0.3055168668
173	0.305115438
174	0.3049833633
175	0.3048130056
176	0.3047140999
177	0.3044273662
178	0.3042834791
179	0.3039074123
180	0.303753624
181	0.3036215686
182	0.3033526793
183	0.3028213649
184	0.3027017614
185	0.3017840774
186	0.301196729
187	0.3010687986
188	0.3009851634
189	0.3007554272
190	0.3006596619
191	0.3002878865
192	0.3000628261
193	0.2997125331
194	0.2993416253
195	0.2989755289
196	0.298872145
197	0.2987125256
198	0.2983882016
199	0.2981121846
200	0.2980401252
201	0.2979511199
202	0.2974167653
203	0.2971948406
204	0.2971001549
205	0.2969958792
206	0.2965889212
207	0.2964333119
208	0.2960679438
209	0.295944085
210	0.2958439789
211	0.2957735282
212	0.2955467415
213	0.2953274147
214	0.2950712587
215	0.2948749492
216	0.2948018999
217	0.2947323109
218	0.2945372865
219	0.2942404215
220	0.2941194805
221	0.293863171
222	0.293767419
223	0.2933572946
224	0.2932632168
225	0.2931119525
226	0.2929673813
227	0.2928803021
228	0.2927512735
229	0.2926468804
230	0.2923502237
231	0.2922513449
232	0.2921164545
233	0.2917080428
234	0.2916270102
235	0.2913382961
236	0.291266873
237	0.2911596125
238	0.2908407562
239	0.2907802763
240	0.2905722809
241	0.2904871748
242	0.2904114201
243	0.2902073612
244	0.2899171163
245	0.2896411179
246	0.2895755073
247	0.2893936974
248	0.2893249651
249	0.288935838
250	0.2888164892
251	0.2887439059
252	0.2886924994
253	0.288454104
254	0.2884031421
255	0.2882614504
256	0.2878963026
257	0.2878356881
258	0.2877351997
259	0.2876316572
260	0.2874655896
261	0.2872291592
262	0.2869476326
263	0.2868806685
264	0.2867621209
265	0.2866696538
266	0.2865772904
267	0.2865182038
268	0.2863809217
269	0.286088614
270	0.2859135127
271	0.2855870135
272	0.2855165476
273	0.2854094839
274	0.2853141849
275	0.2852559109
276	0.2847472011
277	0.2846374935
278	0.2845117863
279	0.2844271123
280	0.284213506
281	0.2841403545
282	0.2840436937
283	0.2839037585
284	0.2836088627
285	0.2834839294
286	0.2833019269
287	0.2831891104
288	0.2831201727
289	0.2829055792
290	0.2828493598
291	0.2827683268
292	0.2827203212
293	0.282494248
294	0.282306978
295	0.2821599567
296	0.2818668679
297	0.2818229562
298	0.2817214395
299	0.2816370029
300	0.2813867458
301	0.2813191913
302	0.2812696407
303	0.2812012575
304	0.2809525269
305	0.2807157211
306	0.2806167995
307	0.2803974043
308	0.2802521421
309	0.2801034728
310	0.2797278306
311	0.2796725132
312	0.2795391761
313	0.2794825153
314	0.2791187377
315	0.2788863582
316	0.2786745964
317	0.278485034
318	0.2782930846
319	0.2782317326
320	0.2780631635
321	0.2778712078
322	0.2776924209
323	0.2776049888
324	0.277552588
325	0.2774498233
326	0.2773893112
327	0.2772301225
328	0.2770935906
329	0.2769520426
330	0.2768983856
331	0.2768104353
332	0.276712825
333	0.2766559763
334	0.2765116228
335	0.2763436934
336	0.2762807081
337	0.2761554287
338	0.2760679316
339	0.2758680065
340	0.2757987312
341	0.2757522345
342	0.2757000912
343	0.2755471887
344	0.2754936653
345	0.2754270154
346	0.2753762129
347	0.2753201655
348	0.2752723887
349	0.2752193813
350	0.2749266047
351	0.2748479048
352	0.2747992961
353	0.2746503082
354	0.2746022907
355	0.2743184493
356	0.2742852471
357	0.2742395383
358	0.2742043787
359	0.2741662042
360	0.274123774
361	0.2738460872
362	0.2736824513
363	0.2736068431
364	0.2733878084
365	0.2733046806
366	0.2732527851
367	0.2731253552
368	0.2729537399
369	0.2728378983
370	0.2727975859
371	0.2723446373
372	0.2722676717
373	0.2721010697
374	0.2718956724
375	0.2716008465
376	0.2715645213
377	0.2715306577
378	0.2714657043
379	0.2712788647
380	0.2710942564
381	0.2710558617
382	0.270873566
383	0.2708294165
384	0.270787063
385	0.2706350916
386	0.2705676451
387	0.2705003975
388	0.2703857356
389	0.27034182
390	0.2699931306
391	0.2698867868
392	0.2698130381
393	0.269786042
394	0.2697353343
395	0.2696471472
396	0.2694896437
397	0.2691732311
398	0.2690894443
399	0.2690213132
