iter	Logloss
0	0.6728224657
1	0.6528195101
2	0.632108738
3	0.6152374748
4	0.5994051712
5	0.5841626576
6	0.5692288717
7	0.5566504359
8	0.544607828
9	0.5327394415
10	0.5226670123
11	0.5130650151
12	0.5041670143
13	0.4961062135
14	0.488528973
15	0.4811427434
16	0.4734909554
17	0.4662359029
18	0.4607649461
19	0.454952524
20	0.4486801448
21	0.4439466335
22	0.4395875466
23	0.4338475089
24	0.4297695379
25	0.4261534578
26	0.4214488857
27	0.4172758476
28	0.4141496005
29	0.4111741722
30	0.4082698484
31	0.4050544827
32	0.4014682257
33	0.3991175943
34	0.39622975
35	0.3935979678
36	0.3909815555
37	0.3888178008
38	0.3871187359
39	0.3851831254
40	0.3835118846
41	0.3817019823
42	0.3802431073
43	0.3786533287
44	0.3771901639
45	0.3760314365
46	0.3747643005
47	0.3734667347
48	0.3722225643
49	0.3712342939
50	0.3704205366
51	0.3695183022
52	0.3684966809
53	0.3675168089
54	0.3667841962
55	0.3658800274
56	0.3648202096
57	0.3634935336
58	0.362843439
59	0.361832706
60	0.3612137802
61	0.3597861382
62	0.3590849058
63	0.358390515
64	0.3577512929
65	0.3569165134
66	0.3563475657
67	0.3555067029
68	0.3550288121
69	0.3544531139
70	0.3530576595
71	0.3524683386
72	0.351941559
73	0.3502873261
74	0.3497551366
75	0.3492898054
76	0.3479353292
77	0.3472423414
78	0.346715919
79	0.3462814178
80	0.3457619309
81	0.3451814414
82	0.3441502966
83	0.3437422046
84	0.3433280148
85	0.3429630503
86	0.3419225897
87	0.3413210707
88	0.3403877153
89	0.3400499862
90	0.3397114772
91	0.339292449
92	0.3389676289
93	0.3378320291
94	0.3375703943
95	0.3363130497
96	0.3359972944
97	0.3357408284
98	0.335064114
99	0.3347456436
100	0.3335895498
101	0.3332788065
102	0.3328277613
103	0.3325534907
104	0.3319190132
105	0.3308364952
106	0.329950245
107	0.3292544978
108	0.3286499995
109	0.3283924746
110	0.3281143374
111	0.3278991329
112	0.3275756522
113	0.3267535874
114	0.3259644555
115	0.3256278387
116	0.3254091921
117	0.324859367
118	0.3245433824
119	0.3237926892
120	0.3234392815
121	0.3227116324
122	0.3222477561
123	0.321706251
124	0.3211579639
125	0.320644005
126	0.3203913237
127	0.3201668004
128	0.3199548825
129	0.3197155042
130	0.3194276848
131	0.3191886759
132	0.3184730417
133	0.3181873943
134	0.3180138125
135	0.3178426341
136	0.3176393445
137	0.3171612852
138	0.3169057856
139	0.3159793058
140	0.3154796903
141	0.3147236231
142	0.314489373
143	0.3142257942
144	0.3139238813
145	0.3137908108
146	0.3136276582
